district_code,district_kr,total_waste_kg,population,waste_kg_per_capita_per_day,population_1000s,total_waste_tons
41110,수원시,96396.5,1228171,0.22,1228.171,96.3965
41280,고양시,97236.0,1074759,0.25,1074.759,97.236
41460,용인시,84972.0,1113031,0.21,1113.031,84.972
41130,성남시,82088.5,924510,0.24,924.51,82.0885
41190,부천시,73036.5,791414,0.25,791.414,73.0365
41270,안산시,68474.0,668068,0.28,668.068,68.474
41360,남양주시,54969.0,739980,0.2,739.98,54.969
41170,안양시,43471.5,570653,0.21,570.653,43.4715
41590,화성시,106105.5,1043614,0.28,1043.614,106.1055
41220,평택시,66539.5,644756,0.28,644.756,66.5395
41390,시흥시,54348.5,557103,0.27,557.103,54.3485
41480,파주시,36573.0,540955,0.19,540.955,36.573
41150,의정부시,38982.0,469634,0.23,469.634,38.982
41570,김포시,30441.0,511088,0.16,511.088,30.441
41610,광주시,45734.5,412845,0.3,412.845,45.7345
41210,광명시,17958.0,294426,0.17,294.426,17.958
41410,군포시,19199.0,257725,0.2,257.725,19.199
41450,하남시,25878.5,330554,0.21,330.554,25.8785
41370,오산시,21316.0,259640,0.22,259.64,21.316
41630,양주시,24090.0,306081,0.22,306.081,24.09
41500,이천시,31937.5,234807,0.37,234.807,31.9375
41310,구리시,16498.0,187704,0.24,187.704,16.498
41550,안성시,13833.5,211944,0.18,211.944,13.8335
41650,포천시,13140.0,157305,0.23,157.305,13.14
41430,의왕시,15330.0,160838,0.26,160.838,15.33
41830,양평군,8906.0,128875,0.19,128.875,8.906
41670,여주시,12264.0,119656,0.28,119.656,12.264
41250,동두천시,5292.5,91098,0.16,91.098,5.2925
41820,가평군,8030.0,63556,0.35,63.556,8.03
41290,과천시,6022.5,80112,0.21,80.112,6.0225
41800,연천군,3139.0,43407,0.2,43.407,3.139
