date,year,month,district,population_1000s,waste_kg_per_capita_per_day,total_waste_tons_per_month,policy_phase
2015-01-01,2015,1,강남구,550,0.58,9563.0,Phase 1: RFID Pilot
2015-01-01,2015,1,서초구,450,0.623,8407.6,Phase 1: RFID Pilot
2015-01-01,2015,1,송파구,670,0.557,11197.1,Phase 1: RFID Pilot
2015-01-01,2015,1,강동구,450,0.564,7617.0,Phase 1: RFID Pilot
2015-01-01,2015,1,마포구,380,0.507,5779.5,Phase 1: RFID Pilot
2015-01-01,2015,1,영등포구,400,0.487,5845.3,Phase 1: RFID Pilot
2015-01-01,2015,1,양천구,470,0.475,6692.6,Phase 1: RFID Pilot
2015-01-01,2015,1,노원구,540,0.432,6992.6,Phase 1: RFID Pilot
2015-01-01,2015,1,은평구,490,0.464,6824.5,Phase 1: RFID Pilot
2015-01-01,2015,1,성북구,460,0.458,6318.0,Phase 1: RFID Pilot
2015-01-01,2015,1,관악구,520,0.513,7997.8,Phase 1: RFID Pilot
2015-01-01,2015,1,동작구,410,0.481,5911.2,Phase 1: RFID Pilot
2015-01-01,2015,1,종로구,160,0.437,2097.3,Phase 1: RFID Pilot
2015-01-01,2015,1,중구,140,0.428,1797.6,Phase 1: RFID Pilot
2015-01-01,2015,1,용산구,240,0.429,3086.7,Phase 1: RFID Pilot
2015-02-01,2015,2,강남구,550,0.591,9757.5,Phase 1: RFID Pilot
2015-02-01,2015,2,서초구,450,0.543,7331.2,Phase 1: RFID Pilot
2015-02-01,2015,2,송파구,670,0.562,11288.5,Phase 1: RFID Pilot
2015-02-01,2015,2,강동구,450,0.472,6368.3,Phase 1: RFID Pilot
2015-02-01,2015,2,마포구,380,0.477,5439.5,Phase 1: RFID Pilot
2015-02-01,2015,2,영등포구,400,0.529,6344.2,Phase 1: RFID Pilot
2015-02-01,2015,2,양천구,470,0.498,7017.1,Phase 1: RFID Pilot
2015-02-01,2015,2,노원구,540,0.433,7020.0,Phase 1: RFID Pilot
2015-02-01,2015,2,은평구,490,0.49,7206.6,Phase 1: RFID Pilot
2015-02-01,2015,2,성북구,460,0.479,6608.6,Phase 1: RFID Pilot
2015-02-01,2015,2,관악구,520,0.481,7510.8,Phase 1: RFID Pilot
2015-02-01,2015,2,동작구,410,0.502,6170.7,Phase 1: RFID Pilot
2015-02-01,2015,2,종로구,160,0.486,2332.6,Phase 1: RFID Pilot
2015-02-01,2015,2,중구,140,0.422,1772.7,Phase 1: RFID Pilot
2015-02-01,2015,2,용산구,240,0.471,3389.8,Phase 1: RFID Pilot
2015-03-01,2015,3,강남구,550,0.44,7266.4,Phase 1: RFID Pilot
2015-03-01,2015,3,서초구,450,0.418,5639.5,Phase 1: RFID Pilot
2015-03-01,2015,3,송파구,670,0.484,9723.1,Phase 1: RFID Pilot
