year,mode,ridership
1995,BUS,3009000
1995,LRT,0
1995,MRT,740000
1996,BUS,3118000
1996,LRT,0
1996,MRT,850000
1997,BUS,3116000
1997,LRT,0
1997,MRT,911000
1998,BUS,3121000
1998,LRT,0
1998,MRT,946000
1999,BUS,3213000
1999,LRT,27000
1999,MRT,986000
2000,BUS,3251000
2000,LRT,39000
2000,MRT,1047000
2001,BUS,3281000
2001,LRT,41000
2001,MRT,1071000
2002,BUS,3197000
2002,LRT,39000
2002,MRT,1081000
2003,BUS,2992000
2003,LRT,50000
2003,MRT,1171000
2004,BUS,2805000
2004,LRT,55000
2004,MRT,1270000
2005,BUS,2779000
2005,LRT,69000
2005,MRT,1321000
2006,BUS,2833000
2006,LRT,74000
2006,MRT,1408000
2007,BUS,2932000
2007,LRT,79000
2007,MRT,1527000
2008,BUS,3087000
2008,LRT,88000
2008,MRT,1698000
2009,BUS,3047000
2009,LRT,90000
2009,MRT,1782000
2010,BUS,3199000
2010,LRT,100000
2010,MRT,2069000
2011,BUS,3385000
2011,LRT,111000
2011,MRT,2295000
2012,BUS,3481000
2012,LRT,124000
2012,MRT,2525000
2013,BUS,3601000
2013,LRT,132000
2013,MRT,2623000
2014,BUS,3751000
2014,LRT,137000
2014,MRT,2762000
2015,BUS,3891000
2015,LRT,152000
2015,MRT,2871000
2016,BUS,3939000
2016,LRT,180000
2016,MRT,3095000
2017,BUS,3952000
2017,LRT,190000
2017,MRT,3122000
2018,BUS,4037000
2018,LRT,199000
2018,MRT,3302000
2019,BUS,4099000
2019,LRT,208000
2019,MRT,3384000
2020,BUS,2878000
2020,LRT,139000
2020,MRT,2023000
2021,BUS,3008000
2021,LRT,151000
2021,MRT,2100000
2022,BUS,3461000
2022,LRT,184000
2022,MRT,2745000
2023,BUS,3747000
2023,LRT,202000
2023,MRT,3243000
2024,BUS,3837000
2024,LRT,210000
2024,MRT,3412000
