date,year,month,district_kr,population_1000s,waste_kg_per_capita_per_day,total_waste_tons_per_month,policy_period
2015-01-01,2015,1,수원시,1190,0.458,16349.4,Pre-Policy
2015-01-01,2015,1,용인시,1080,0.488,15799.0,Pre-Policy
2015-01-01,2015,1,성남시,940,0.439,12389.9,Pre-Policy
2015-01-01,2015,1,안산시,650,0.498,9716.9,Pre-Policy
2015-01-01,2015,1,안양시,570,0.445,7615.7,Pre-Policy
2015-01-01,2015,1,부천시,800,0.431,10333.4,Pre-Policy
2015-01-01,2015,1,고양시,1060,0.425,13504.1,Pre-Policy
2015-01-01,2015,1,남양주시,720,0.4,8638.3,Pre-Policy
2015-01-01,2015,1,화성시,890,0.429,11454.8,Pre-Policy
2015-01-01,2015,1,평택시,520,0.407,6341.9,Pre-Policy
2015-01-01,2015,1,의정부시,430,0.479,6182.9,Pre-Policy
2015-01-01,2015,1,파주시,480,0.428,6167.0,Pre-Policy
2015-01-01,2015,1,광명시,320,0.437,4197.0,Pre-Policy
2015-01-01,2015,1,광주시,410,0.427,5247.2,Pre-Policy
2015-01-01,2015,1,군포시,280,0.43,3611.4,Pre-Policy
2015-02-01,2015,2,수원시,1190,0.382,13623.0,Pre-Policy
2015-02-01,2015,2,용인시,1080,0.372,12043.0,Pre-Policy
2015-02-01,2015,2,성남시,940,0.387,10906.9,Pre-Policy
2015-02-01,2015,2,안산시,650,0.369,7197.8,Pre-Policy
2015-02-01,2015,2,안양시,570,0.355,6067.6,Pre-Policy
2015-02-01,2015,2,부천시,800,0.396,9506.9,Pre-Policy
2015-02-01,2015,2,고양시,1060,0.375,11938.1,Pre-Policy
2015-02-01,2015,2,남양주시,720,0.345,7460.3,Pre-Policy
2015-02-01,2015,2,화성시,890,0.379,10109.3,Pre-Policy
2015-02-01,2015,2,평택시,520,0.373,5822.4,Pre-Policy
2015-02-01,2015,2,의정부시,430,0.384,4947.2,Pre-Policy
2015-02-01,2015,2,파주시,480,0.371,5341.6,Pre-Policy
2015-02-01,2015,2,광명시,320,0.408,3917.6,Pre-Policy
2015-02-01,2015,2,광주시,410,0.361,4439.9,Pre-Policy
2015-02-01,2015,2,군포시,280,0.394,3311.0,Pre-Policy
2015-03-01,2015,3,수원시,1190,0.369,13174.8,Pre-Policy
2015-03-01,2015,3,용인시,1080,0.349,11317.7,Pre-Policy
2015-03-01,2015,3,성남시,940,0.407,11477.4,Pre-Policy
2015-03-01,2015,3,안산시,650,0.386,7530.1,Pre-Policy
2015-03-01,2015,3,안양시,570,0.382,6536.2,Pre-Policy
2015-03-01,2015,3,부천시,800,0.399,9579.3,Pre-Policy
2015-03-01,2015,3,고양시,1060,0.391,12438.6,Pre-Policy
2015-03-01,2015,3,남양주시,720,0.333,7192.6,Pre-Policy
2015-03-01,2015,3,화성시,890,0.379,10131.5,Pre-Policy
2015-03-01,2015,3,평택시,520,0.367,5719.8,Pre-Policy
2015-03-01,2015,3,의정부시,430,0.378,4879.9,Pre-Policy
2015-03-01,2015,3,파주시,480,0.405,5836.5,Pre-Policy
2015-03-01,2015,3,광명시,320,0.36,3457.7,Pre-Policy
2015-03-01,2015,3,광주시,410,0.401,4931.4,Pre-Policy
2015-03-01,2015,3,군포시,280,0.373,3134.9,Pre-Policy
2015-04-01,2015,4,수원시,1190,0.389,13899.5,Pre-Policy
2015-04-01,2015,4,용인시,1080,0.364,11779.4,Pre-Policy
2015-04-01,2015,4,성남시,940,0.361,10187.7,Pre-Policy
2015-04-01,2015,4,안산시,650,0.388,7564.8,Pre-Policy
2015-04-01,2015,4,안양시,570,0.378,6469.3,Pre-Policy
2015-04-01,2015,4,부천시,800,0.349,8369.6,Pre-Policy
2015-04-01,2015,4,고양시,1060,0.367,11675.6,Pre-Policy
2015-04-01,2015,4,남양주시,720,0.38,8204.1,Pre-Policy
2015-04-01,2015,4,화성시,890,0.419,11192.2,Pre-Policy
2015-04-01,2015,4,평택시,520,0.385,5999.4,Pre-Policy
2015-04-01,2015,4,의정부시,430,0.341,4404.6,Pre-Policy
2015-04-01,2015,4,파주시,480,0.4,5759.8,Pre-Policy
2015-04-01,2015,4,광명시,320,0.378,3632.8,Pre-Policy
2015-04-01,2015,4,광주시,410,0.37,4556.4,Pre-Policy
2015-04-01,2015,4,군포시,280,0.409,3434.9,Pre-Policy
2015-05-01,2015,5,수원시,1190,0.389,13873.8,Pre-Policy
2015-05-01,2015,5,용인시,1080,0.397,12850.3,Pre-Policy
2015-05-01,2015,5,성남시,940,0.409,11530.9,Pre-Policy
2015-05-01,2015,5,안산시,650,0.356,6944.1,Pre-Policy
2015-05-01,2015,5,안양시,570,0.378,6466.3,Pre-Policy
2015-05-01,2015,5,부천시,800,0.349,8387.2,Pre-Policy
2015-05-01,2015,5,고양시,1060,0.362,11516.4,Pre-Policy
2015-05-01,2015,5,남양주시,720,0.373,8052.9,Pre-Policy
2015-05-01,2015,5,화성시,890,0.362,9665.1,Pre-Policy
2015-05-01,2015,5,평택시,520,0.387,6029.6,Pre-Policy
2015-05-01,2015,5,의정부시,430,0.395,5090.4,Pre-Policy
2015-05-01,2015,5,파주시,480,0.349,5027.5,Pre-Policy
2015-05-01,2015,5,광명시,320,0.391,3755.7,Pre-Policy
